ticket_id,created_at,category,priority,queue
TCK-20250101-000030,2025-01-01 10:19:25,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000031,2025-01-01 11:14:04,Email,P3,ServiceDesk-N1
TCK-20250101-000032,2025-01-01 12:14:00,Acesso/Conta,P3,ServiceDesk-N1
TCK-20250101-000033,2025-01-01 17:04:32,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250101-000034,2025-01-01 09:08:46,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000035,2025-01-01 14:12:06,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250101-000036,2025-01-01 07:29:55,Impressão,P3,Infra
TCK-20250101-000037,2025-01-01 15:21:51,Rede/Internet,P4,ServiceDesk-N1
TCK-20250101-000038,2025-01-01 14:28:08,Email,P4,ServiceDesk-N1
TCK-20250101-000039,2025-01-01 15:55:54,Software,P4,Infra
TCK-20250101-000040,2025-01-01 11:53:00,Rede/Internet,P2,Field
TCK-20250101-000041,2025-01-01 14:13:55,Email,P4,ServiceDesk-N1
TCK-20250101-000042,2025-01-01 15:24:16,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000043,2025-01-01 11:50:35,Software,P4,ServiceDesk-N1
TCK-20250101-000044,2025-01-01 08:13:03,Software,P4,ServiceDesk-N2
TCK-20250101-000045,2025-01-01 16:32:58,Rede/Internet,P4,Infra
TCK-20250101-000046,2025-01-01 14:05:54,VPN/Conectividade,P3,ServiceDesk-N2
TCK-20250101-000047,2025-01-01 13:56:36,VPN/Conectividade,P3,ServiceDesk-N2
TCK-20250101-000048,2025-01-01 14:26:42,Software,P4,Infra
TCK-20250101-000049,2025-01-01 14:15:16,Email,P3,ServiceDesk-N1
TCK-20250101-000050,2025-01-01 17:20:59,Impressão,P4,ServiceDesk-N1
TCK-20250101-000051,2025-01-01 22:04:34,VPN/Conectividade,P4,Infra
TCK-20250101-000052,2025-01-01 12:56:04,Rede/Internet,P4,ServiceDesk-N1
TCK-20250101-000053,2025-01-01 15:39:51,Software,P4,ServiceDesk-N2
TCK-20250101-000054,2025-01-01 08:19:59,Software,P2,ServiceDesk-N1
TCK-20250101-000055,2025-01-01 14:35:09,VPN/Conectividade,P3,ServiceDesk-N2
TCK-20250101-000056,2025-01-01 13:13:43,Software,P4,ServiceDesk-N1
TCK-20250101-000057,2025-01-01 17:05:40,Email,P4,ServiceDesk-N1
TCK-20250101-000058,2025-01-01 09:49:08,Software,P4,ServiceDesk-N2
TCK-20250101-000059,2025-01-01 09:00:07,Acesso/Conta,P2,Infra
TCK-20250101-000060,2025-01-01 11:34:02,Telefonia,P3,ServiceDesk-N1
TCK-20250101-000061,2025-01-01 14:57:59,Telefonia,P2,Field
TCK-20250101-000062,2025-01-01 14:13:43,VPN/Conectividade,P4,ServiceDesk-N2
TCK-20250101-000063,2025-01-01 15:39:47,Acesso/Conta,P2,Field
TCK-20250101-000064,2025-01-01 10:51:51,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250101-000065,2025-01-01 17:26:51,Software,P3,ServiceDesk-N1
TCK-20250101-000066,2025-01-01 10:10:50,Impressão,P4,ServiceDesk-N1
TCK-20250101-000067,2025-01-01 11:58:29,Email,P3,Field
TCK-20250101-000068,2025-01-01 13:14:01,Software,P4,ServiceDesk-N1
TCK-20250101-000069,2025-01-01 17:22:41,Hardware,P3,Field
TCK-20250101-000070,2025-01-01 15:21:01,Acesso/Conta,P1,ServiceDesk-N1
TCK-20250101-000071,2025-01-01 15:06:38,Email,P3,ServiceDesk-N1
TCK-20250101-000072,2025-01-01 12:38:32,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250101-000073,2025-01-01 16:33:59,Telefonia,P3,Infra
TCK-20250101-000074,2025-01-01 13:47:42,VPN/Conectividade,P4,Infra
TCK-20250101-000075,2025-01-01 16:42:54,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250101-000076,2025-01-01 10:42:26,Email,P3,ServiceDesk-N1
TCK-20250101-000077,2025-01-01 14:24:43,Impressão,P4,ServiceDesk-N1
TCK-20250101-000078,2025-01-01 17:25:35,Telefonia,P4,ServiceDesk-N1
TCK-20250101-000079,2025-01-01 13:20:29,Hardware,P3,ServiceDesk-N1
TCK-20250101-000080,2025-01-01 09:50:57,Rede/Internet,P3,ServiceDesk-N2
TCK-20250101-000081,2025-01-01 12:39:21,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250101-000082,2025-01-01 17:19:14,Telefonia,P4,ServiceDesk-N1
TCK-20250101-000083,2025-01-01 17:49:04,Hardware,P2,ServiceDesk-N1
TCK-20250101-000084,2025-01-01 12:45:44,Email,P4,ServiceDesk-N1
TCK-20250101-000085,2025-01-01 10:55:49,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000086,2025-01-01 07:51:44,Hardware,P4,ServiceDesk-N1
TCK-20250101-000087,2025-01-01 14:51:29,Software,P1,ServiceDesk-N1
TCK-20250101-000088,2025-01-01 10:48:57,Hardware,P3,Field
TCK-20250101-000089,2025-01-01 07:28:57,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250101-000090,2025-01-01 15:48:15,Telefonia,P4,ServiceDesk-N2
TCK-20250101-000091,2025-01-01 10:28:04,Impressão,P4,ServiceDesk-N1
TCK-20250101-000092,2025-01-01 13:57:34,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250101-000093,2025-01-01 14:26:26,Email,P4,ServiceDesk-N1
TCK-20250101-000094,2025-01-01 14:53:26,Email,P3,Infra
TCK-20250101-000095,2025-01-01 19:36:24,Hardware,P2,ServiceDesk-N1
TCK-20250101-000096,2025-01-01 13:24:54,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000097,2025-01-01 12:57:14,Hardware,P4,ServiceDesk-N1
TCK-20250101-000098,2025-01-01 07:24:21,Software,P3,ServiceDesk-N2
TCK-20250101-000099,2025-01-01 16:39:34,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250101-000100,2025-01-01 07:01:05,Software,P4,ServiceDesk-N1
TCK-20250101-000101,2025-01-01 15:13:29,Email,P3,ServiceDesk-N1
TCK-20250101-000102,2025-01-01 13:48:53,Email,P3,ServiceDesk-N1
TCK-20250101-000103,2025-01-01 12:22:14,Software,P3,ServiceDesk-N2
TCK-20250101-000104,2025-01-01 12:48:01,Rede/Internet,P4,ServiceDesk-N1
TCK-20250101-000105,2025-01-01 13:42:07,Software,P4,ServiceDesk-N2
TCK-20250101-000106,2025-01-01 14:49:23,Acesso/Conta,P3,ServiceDesk-N2
TCK-20250101-000107,2025-01-01 17:19:06,Software,P2,ServiceDesk-N1
TCK-20250101-000108,2025-01-01 16:58:24,Email,P3,ServiceDesk-N1
TCK-20250101-000109,2025-01-01 11:06:44,Impressão,P2,ServiceDesk-N2
TCK-20250101-000110,2025-01-01 09:07:50,Rede/Internet,P3,ServiceDesk-N1
TCK-20250101-000111,2025-01-01 10:32:41,Email,P3,Field
TCK-20250101-000112,2025-01-01 14:06:27,Rede/Internet,P3,Field
TCK-20250101-000113,2025-01-01 12:46:33,Rede/Internet,P4,ServiceDesk-N2
TCK-20250101-000114,2025-01-01 09:34:49,Hardware,P4,ServiceDesk-N2
TCK-20250101-000115,2025-01-01 12:53:59,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250101-000116,2025-01-01 18:29:36,Software,P4,ServiceDesk-N1
TCK-20250101-000117,2025-01-01 14:13:22,Telefonia,P4,Field
TCK-20250101-000118,2025-01-01 11:44:56,VPN/Conectividade,P4,Infra
TCK-20250101-000119,2025-01-01 17:31:35,Impressão,P3,ServiceDesk-N2
TCK-20250101-000120,2025-01-01 15:31:28,Telefonia,P4,ServiceDesk-N1
TCK-20250101-000121,2025-01-01 12:37:23,Hardware,P4,ServiceDesk-N1
TCK-20250102-000122,2025-01-02 10:22:44,Hardware,P4,ServiceDesk-N1
TCK-20250102-000123,2025-01-02 12:47:34,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000124,2025-01-02 10:47:30,VPN/Conectividade,P3,ServiceDesk-N2
TCK-20250102-000125,2025-01-02 06:53:12,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250102-000126,2025-01-02 08:45:34,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000127,2025-01-02 11:40:55,Impressão,P4,ServiceDesk-N1
TCK-20250102-000128,2025-01-02 19:18:30,Hardware,P4,Infra
TCK-20250102-000129,2025-01-02 12:07:52,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000130,2025-01-02 18:43:03,Acesso/Conta,P3,Infra
TCK-20250102-000131,2025-01-02 14:35:48,Email,P3,ServiceDesk-N2
TCK-20250102-000132,2025-01-02 14:49:33,Email,P2,ServiceDesk-N1
TCK-20250102-000133,2025-01-02 10:36:39,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250102-000134,2025-01-02 11:48:13,Software,P4,ServiceDesk-N1
TCK-20250102-000135,2025-01-02 13:10:00,Email,P3,ServiceDesk-N1
TCK-20250102-000136,2025-01-02 16:02:14,VPN/Conectividade,P4,Field
TCK-20250102-000137,2025-01-02 14:16:50,Telefonia,P3,ServiceDesk-N2
TCK-20250102-000138,2025-01-02 13:12:27,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000139,2025-01-02 12:03:10,Telefonia,P3,Field
TCK-20250102-000140,2025-01-02 14:58:18,Email,P4,ServiceDesk-N1
TCK-20250102-000141,2025-01-02 11:34:31,Email,P3,Field
TCK-20250102-000142,2025-01-02 14:47:20,Software,P4,ServiceDesk-N1
TCK-20250102-000143,2025-01-02 10:37:01,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000144,2025-01-02 07:02:48,Impressão,P4,ServiceDesk-N2
TCK-20250102-000145,2025-01-02 14:37:27,Software,P4,ServiceDesk-N1
TCK-20250102-000146,2025-01-02 12:22:26,Email,P3,Field
TCK-20250102-000147,2025-01-02 10:18:42,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000148,2025-01-02 17:29:05,VPN/Conectividade,P4,Infra
TCK-20250102-000149,2025-01-02 10:00:42,Rede/Internet,P4,ServiceDesk-N1
TCK-20250102-000150,2025-01-02 15:33:23,Software,P4,ServiceDesk-N1
TCK-20250102-000151,2025-01-02 15:08:59,VPN/Conectividade,P2,ServiceDesk-N1
TCK-20250102-000152,2025-01-02 13:01:40,Software,P4,ServiceDesk-N1
TCK-20250102-000153,2025-01-02 09:05:14,Rede/Internet,P2,ServiceDesk-N1
TCK-20250102-000154,2025-01-02 11:07:41,Telefonia,P4,ServiceDesk-N2
TCK-20250102-000155,2025-01-02 10:53:30,Rede/Internet,P4,ServiceDesk-N1
TCK-20250102-000156,2025-01-02 12:24:12,Rede/Internet,P4,Field
TCK-20250102-000157,2025-01-02 14:50:54,Email,P2,ServiceDesk-N1
TCK-20250102-000158,2025-01-02 11:52:00,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250102-000159,2025-01-02 16:09:28,Hardware,P4,ServiceDesk-N1
TCK-20250102-000160,2025-01-02 12:34:24,Hardware,P4,ServiceDesk-N1
TCK-20250102-000161,2025-01-02 11:14:54,Impressão,P4,ServiceDesk-N2
TCK-20250102-000162,2025-01-02 09:45:58,Telefonia,P4,ServiceDesk-N2
TCK-20250102-000163,2025-01-02 16:31:02,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250102-000164,2025-01-02 05:06:55,Rede/Internet,P4,Infra
TCK-20250102-000165,2025-01-02 14:55:41,Rede/Internet,P4,ServiceDesk-N2
TCK-20250102-000166,2025-01-02 13:16:21,Software,P4,ServiceDesk-N1
TCK-20250102-000167,2025-01-02 10:34:24,Rede/Internet,P3,Field
TCK-20250102-000168,2025-01-02 16:31:55,Software,P3,ServiceDesk-N1
TCK-20250102-000169,2025-01-02 12:14:47,Acesso/Conta,P1,ServiceDesk-N2
TCK-20250102-000170,2025-01-02 10:45:55,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000171,2025-01-02 15:03:18,Email,P4,ServiceDesk-N1
TCK-20250102-000172,2025-01-02 13:26:36,Software,P4,ServiceDesk-N1
TCK-20250102-000173,2025-01-02 10:43:15,Hardware,P3,ServiceDesk-N1
TCK-20250102-000174,2025-01-02 11:40:16,Hardware,P3,Field
TCK-20250102-000175,2025-01-02 10:34:10,Acesso/Conta,P2,Infra
TCK-20250102-000176,2025-01-02 13:19:40,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000177,2025-01-02 09:54:30,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000178,2025-01-02 23:18:44,VPN/Conectividade,P1,ServiceDesk-N2
TCK-20250102-000179,2025-01-02 12:43:49,Impressão,P4,ServiceDesk-N2
TCK-20250102-000180,2025-01-02 16:31:53,Rede/Internet,P4,ServiceDesk-N2
TCK-20250102-000181,2025-01-02 10:40:12,Software,P3,ServiceDesk-N2
TCK-20250102-000182,2025-01-02 11:42:43,Telefonia,P3,Infra
TCK-20250102-000183,2025-01-02 11:28:02,Software,P3,ServiceDesk-N1
TCK-20250102-000184,2025-01-02 10:18:20,Impressão,P4,ServiceDesk-N1
TCK-20250102-000185,2025-01-02 05:33:32,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000186,2025-01-02 11:52:30,Rede/Internet,P4,Field
TCK-20250102-000187,2025-01-02 14:04:09,Impressão,P4,ServiceDesk-N2
TCK-20250102-000188,2025-01-02 09:43:25,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000189,2025-01-02 13:34:07,Hardware,P3,ServiceDesk-N2
TCK-20250102-000190,2025-01-02 12:37:24,Telefonia,P2,ServiceDesk-N1
TCK-20250102-000191,2025-01-02 13:56:35,Email,P3,ServiceDesk-N2
TCK-20250102-000192,2025-01-02 13:40:52,Hardware,P3,ServiceDesk-N2
TCK-20250102-000193,2025-01-02 13:02:19,Rede/Internet,P4,ServiceDesk-N1
TCK-20250102-000194,2025-01-02 13:34:08,Email,P4,Infra
TCK-20250102-000195,2025-01-02 11:37:47,Impressão,P2,ServiceDesk-N2
TCK-20250102-000196,2025-01-02 09:53:31,Software,P2,ServiceDesk-N1
TCK-20250102-000197,2025-01-02 12:28:15,Rede/Internet,P4,ServiceDesk-N2
TCK-20250102-000198,2025-01-02 11:34:57,Rede/Internet,P4,ServiceDesk-N1
TCK-20250102-000199,2025-01-02 13:54:52,Hardware,P3,ServiceDesk-N2
TCK-20250102-000200,2025-01-02 14:38:01,Acesso/Conta,P4,Infra
TCK-20250102-000201,2025-01-02 13:53:48,Software,P3,ServiceDesk-N2
TCK-20250102-000202,2025-01-02 11:14:21,Impressão,P3,ServiceDesk-N1
TCK-20250102-000203,2025-01-02 11:08:34,VPN/Conectividade,P4,ServiceDesk-N2
TCK-20250102-000204,2025-01-02 21:01:08,Acesso/Conta,P3,ServiceDesk-N1
TCK-20250102-000205,2025-01-02 12:03:08,Impressão,P4,ServiceDesk-N2
TCK-20250102-000206,2025-01-02 14:30:28,Impressão,P4,ServiceDesk-N1
TCK-20250102-000207,2025-01-02 05:02:46,Telefonia,P2,ServiceDesk-N1
TCK-20250102-000208,2025-01-02 12:29:41,Rede/Internet,P4,ServiceDesk-N1
TCK-20250102-000209,2025-01-02 09:31:45,Rede/Internet,P4,ServiceDesk-N1
TCK-20250102-000210,2025-01-02 15:38:09,Acesso/Conta,P4,ServiceDesk-N2
TCK-20250102-000211,2025-01-02 10:38:33,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250102-000212,2025-01-02 12:50:44,Acesso/Conta,P3,Field
TCK-20250102-000213,2025-01-02 07:27:28,Rede/Internet,P4,Field
TCK-20250102-000214,2025-01-02 11:25:26,Impressão,P4,ServiceDesk-N1
TCK-20250102-000215,2025-01-02 12:43:59,Hardware,P4,ServiceDesk-N1
TCK-20250102-000216,2025-01-02 20:27:06,Impressão,P4,ServiceDesk-N1
TCK-20250102-000217,2025-01-02 19:35:21,Software,P4,Field
TCK-20250102-000218,2025-01-02 15:48:27,Rede/Internet,P3,Infra
TCK-20250102-000219,2025-01-02 10:36:32,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250102-000220,2025-01-02 11:06:22,Rede/Internet,P4,ServiceDesk-N2
TCK-20250102-000221,2025-01-02 08:54:35,Rede/Internet,P3,ServiceDesk-N2
TCK-20250102-000222,2025-01-02 10:41:35,Acesso/Conta,P2,Field
TCK-20250102-000223,2025-01-02 12:44:48,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250102-000224,2025-01-02 14:55:09,Software,P4,ServiceDesk-N1
TCK-20250102-000225,2025-01-02 12:47:33,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250102-000226,2025-01-02 12:23:19,Impressão,P3,ServiceDesk-N1
TCK-20250102-000227,2025-01-02 13:10:48,Software,P3,ServiceDesk-N1
TCK-20250102-000228,2025-01-02 13:42:27,Hardware,P4,ServiceDesk-N1
TCK-20250102-000229,2025-01-02 13:27:07,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250102-000230,2025-01-02 11:42:19,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000231,2025-01-02 15:13:49,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000232,2025-01-02 13:00:31,Impressão,P4,ServiceDesk-N1
TCK-20250102-000233,2025-01-02 11:53:42,Telefonia,P4,Field
TCK-20250102-000234,2025-01-02 09:02:27,Acesso/Conta,P2,Field
TCK-20250102-000235,2025-01-02 09:45:40,Email,P4,ServiceDesk-N1
TCK-20250102-000236,2025-01-02 11:20:10,Telefonia,P3,Field
TCK-20250102-000237,2025-01-02 14:54:06,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250102-000238,2025-01-02 12:25:55,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250102-000239,2025-01-02 14:07:33,Hardware,P2,ServiceDesk-N1
TCK-20250102-000240,2025-01-02 16:46:52,Software,P4,ServiceDesk-N1
TCK-20250102-000241,2025-01-02 12:09:48,Impressão,P4,Infra
TCK-20250102-000242,2025-01-02 14:40:31,Hardware,P3,ServiceDesk-N1
TCK-20250102-000243,2025-01-02 10:41:40,Rede/Internet,P4,Infra
TCK-20250102-000244,2025-01-02 07:20:09,Email,P4,ServiceDesk-N2
TCK-20250102-000245,2025-01-02 14:22:32,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250102-000246,2025-01-02 09:23:53,VPN/Conectividade,P3,Infra
TCK-20250102-000247,2025-01-02 16:24:29,Software,P2,ServiceDesk-N2
TCK-20250102-000248,2025-01-02 15:02:28,Rede/Internet,P3,ServiceDesk-N1
TCK-20250102-000249,2025-01-02 10:03:28,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250103-000250,2025-01-03 10:41:11,Acesso/Conta,P3,Infra
TCK-20250103-000251,2025-01-03 08:23:23,Rede/Internet,P4,ServiceDesk-N2
TCK-20250103-000252,2025-01-03 12:43:38,Acesso/Conta,P3,ServiceDesk-N1
TCK-20250103-000253,2025-01-03 11:24:18,VPN/Conectividade,P2,Infra
TCK-20250103-000254,2025-01-03 16:38:55,Acesso/Conta,P4,ServiceDesk-N2
TCK-20250103-000255,2025-01-03 15:41:44,Software,P4,ServiceDesk-N2
TCK-20250103-000256,2025-01-03 11:05:19,Software,P3,ServiceDesk-N1
TCK-20250103-000257,2025-01-03 16:47:43,Rede/Internet,P4,ServiceDesk-N2
TCK-20250103-000258,2025-01-03 16:32:23,Acesso/Conta,P4,Infra
TCK-20250103-000259,2025-01-03 10:12:14,Rede/Internet,P4,ServiceDesk-N1
TCK-20250103-000260,2025-01-03 17:50:06,Hardware,P4,ServiceDesk-N2
TCK-20250103-000261,2025-01-03 08:56:49,Software,P3,ServiceDesk-N1
TCK-20250103-000262,2025-01-03 12:11:53,Software,P3,Infra
TCK-20250103-000263,2025-01-03 12:23:43,Impressão,P2,ServiceDesk-N2
TCK-20250103-000264,2025-01-03 12:48:47,Telefonia,P4,ServiceDesk-N1
TCK-20250103-000265,2025-01-03 18:57:53,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250103-000266,2025-01-03 11:28:29,Impressão,P3,ServiceDesk-N1
TCK-20250103-000267,2025-01-03 11:12:51,Software,P2,ServiceDesk-N1
TCK-20250103-000268,2025-01-03 13:30:55,Email,P2,ServiceDesk-N2
TCK-20250103-000269,2025-01-03 11:05:48,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000270,2025-01-03 12:53:27,Acesso/Conta,P2,ServiceDesk-N2
TCK-20250103-000271,2025-01-03 18:26:03,Email,P4,ServiceDesk-N1
TCK-20250103-000272,2025-01-03 08:05:23,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250103-000273,2025-01-03 12:09:08,Acesso/Conta,P2,ServiceDesk-N1
TCK-20250103-000274,2025-01-03 10:53:08,Impressão,P4,ServiceDesk-N2
TCK-20250103-000275,2025-01-03 13:13:53,Acesso/Conta,P2,ServiceDesk-N2
TCK-20250103-000276,2025-01-03 12:27:07,Impressão,P4,ServiceDesk-N1
TCK-20250103-000277,2025-01-03 13:39:29,Acesso/Conta,P3,ServiceDesk-N1
TCK-20250103-000278,2025-01-03 17:34:01,Software,P3,ServiceDesk-N2
TCK-20250103-000279,2025-01-03 12:22:15,Software,P4,ServiceDesk-N2
TCK-20250103-000280,2025-01-03 13:33:23,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000281,2025-01-03 16:24:55,Hardware,P3,Infra
TCK-20250103-000282,2025-01-03 12:16:47,Acesso/Conta,P3,ServiceDesk-N1
TCK-20250103-000283,2025-01-03 12:49:37,Impressão,P4,ServiceDesk-N1
TCK-20250103-000284,2025-01-03 08:34:21,Telefonia,P4,ServiceDesk-N2
TCK-20250103-000285,2025-01-03 08:40:11,Telefonia,P4,ServiceDesk-N2
TCK-20250103-000286,2025-01-03 14:29:02,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250103-000287,2025-01-03 19:32:25,Rede/Internet,P4,ServiceDesk-N1
TCK-20250103-000288,2025-01-03 14:48:41,VPN/Conectividade,P4,ServiceDesk-N2
TCK-20250103-000289,2025-01-03 14:07:51,Email,P2,ServiceDesk-N2
TCK-20250103-000290,2025-01-03 10:57:24,Email,P4,ServiceDesk-N2
TCK-20250103-000291,2025-01-03 09:17:51,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000292,2025-01-03 16:52:11,Software,P4,ServiceDesk-N1
TCK-20250103-000293,2025-01-03 11:38:45,Email,P3,ServiceDesk-N1
TCK-20250103-000294,2025-01-03 10:02:46,Rede/Internet,P4,Infra
TCK-20250103-000295,2025-01-03 11:03:04,Software,P4,ServiceDesk-N1
TCK-20250103-000296,2025-01-03 21:47:43,Acesso/Conta,P4,Field
TCK-20250103-000297,2025-01-03 11:08:04,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250103-000298,2025-01-03 10:36:02,Software,P3,Infra
TCK-20250103-000299,2025-01-03 09:36:08,Hardware,P4,ServiceDesk-N2
TCK-20250103-000300,2025-01-03 16:15:07,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000301,2025-01-03 14:49:16,Impressão,P4,ServiceDesk-N2
TCK-20250103-000302,2025-01-03 12:44:58,Rede/Internet,P4,ServiceDesk-N1
TCK-20250103-000303,2025-01-03 14:45:28,Rede/Internet,P3,Infra
TCK-20250103-000304,2025-01-03 13:20:42,Email,P4,ServiceDesk-N1
TCK-20250103-000305,2025-01-03 17:45:45,Rede/Internet,P3,ServiceDesk-N2
TCK-20250103-000306,2025-01-03 09:32:14,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000307,2025-01-03 13:35:36,Email,P3,ServiceDesk-N1
TCK-20250103-000308,2025-01-03 12:39:56,Acesso/Conta,P4,Infra
TCK-20250103-000309,2025-01-03 12:49:26,Telefonia,P4,Infra
TCK-20250103-000310,2025-01-03 09:41:04,Hardware,P3,ServiceDesk-N1
TCK-20250103-000311,2025-01-03 16:40:37,VPN/Conectividade,P2,ServiceDesk-N1
TCK-20250103-000312,2025-01-03 09:58:55,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000313,2025-01-03 14:45:14,Email,P2,Field
TCK-20250103-000314,2025-01-03 15:54:05,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250103-000315,2025-01-03 14:34:05,Hardware,P4,Infra
TCK-20250103-000316,2025-01-03 14:09:10,Software,P3,ServiceDesk-N2
TCK-20250103-000317,2025-01-03 15:52:55,Acesso/Conta,P4,ServiceDesk-N2
TCK-20250103-000318,2025-01-03 09:36:16,Software,P3,ServiceDesk-N1
TCK-20250103-000319,2025-01-03 10:40:34,VPN/Conectividade,P2,ServiceDesk-N1
TCK-20250103-000320,2025-01-03 10:51:51,Software,P4,ServiceDesk-N1
TCK-20250103-000321,2025-01-03 16:30:29,VPN/Conectividade,P3,ServiceDesk-N1
TCK-20250103-000322,2025-01-03 14:45:20,Impressão,P2,Infra
TCK-20250103-000323,2025-01-03 14:35:06,VPN/Conectividade,P4,ServiceDesk-N1
TCK-20250103-000324,2025-01-03 15:15:09,Acesso/Conta,P4,ServiceDesk-N1
TCK-20250103-000325,2025-01-03 11:55:57,Acesso/Conta,P4,ServiceDesk-N1
